Date,Chip,Size,Chips Sold,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/07,Lightly Salted ,6oz,671,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/07,Lightly Salted ,6oz,707,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/07,Lightly Salted ,6oz,822,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/07,Lightly Salted ,6oz,860,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/07,Lightly Salted ,6oz,981,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/07,Lightly Salted ,6oz,777,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/07,Lightly Salted ,6oz,986,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/07,Lightly Salted ,6oz,765,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/07,Lightly Salted ,6oz,1062,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/07,Lightly Salted ,6oz,681,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/07,Lightly Salted ,6oz,476,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/08,Lightly Salted ,6oz,552,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/08,Lightly Salted ,6oz,726,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/08,Lightly Salted ,6oz,615,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/08,Lightly Salted ,6oz,775,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/08,Lightly Salted ,6oz,484,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/08,Lightly Salted ,6oz,874,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/08,Lightly Salted ,6oz,2046,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/08,Lightly Salted ,6oz,1474,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/08,Lightly Salted ,6oz,871,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/08,Lightly Salted ,6oz,1364,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/08,Lightly Salted ,6oz,570,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/08,Lightly Salted ,6oz,886,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/09,Lightly Salted ,6oz,1270,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/09,Lightly Salted ,6oz,904,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/09,Lightly Salted ,6oz,1252,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/09,Lightly Salted ,6oz,1109,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/09,Lightly Salted ,6oz,1791,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/09,Lightly Salted ,6oz,1538,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/09,Lightly Salted ,6oz,1506,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/09,Lightly Salted ,6oz,1231,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/09,Lightly Salted ,6oz,1723,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/09,Lightly Salted ,6oz,1025,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/09,Lightly Salted ,6oz,1022,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/09,Lightly Salted ,6oz,1433,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/10,Lightly Salted ,6oz,938,,,,,,,,,,,,,,,,,,,,,,,,,
