Date,Chip,Size,Chips Sold,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/07,Dill Pickle,6oz,102,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/08,Dill Pickle,6oz,145,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/08,Dill Pickle,6oz,160,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/08,Dill Pickle,6oz,153,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/08,Dill Pickle,6oz,212,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/08,Dill Pickle,6oz,137,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/08,Dill Pickle,6oz,294,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/08,Dill Pickle,6oz,297,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/08,Dill Pickle,6oz,208,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/08,Dill Pickle,6oz,206,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/08,Dill Pickle,6oz,291,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/08,Dill Pickle,6oz,219,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/08,Dill Pickle,6oz,182,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/09,Dill Pickle,6oz,187,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/09,Dill Pickle,6oz,165,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/09,Dill Pickle,6oz,273,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/09,Dill Pickle,6oz,1030,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/09,Dill Pickle,6oz,373,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/09,Dill Pickle,6oz,363,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/09,Dill Pickle,6oz,378,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/09,Dill Pickle,6oz,340,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/09,Dill Pickle,6oz,1053,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/09,Dill Pickle,6oz,193,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/09,Dill Pickle,6oz,343,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/09,Dill Pickle,6oz,228,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/10,Dill Pickle,6oz,223,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/10,Dill Pickle,6oz,216,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/10,Dill Pickle,6oz,336,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/10,Dill Pickle,6oz,402,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/10,Dill Pickle,6oz,372,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/10,Dill Pickle,6oz,447,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/10,Dill Pickle,6oz,383,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/10,Dill Pickle,6oz,1136,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/10,Dill Pickle,6oz,354,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/10,Dill Pickle,6oz,697,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/10,Dill Pickle,6oz,287,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/10,Dill Pickle,6oz,319,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/06,Sour Cream and Chive,2oz,732,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/06,Sour Cream and Chive,2oz,1099,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/06,Sour Cream and Chive,2oz,887,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/06,Sour Cream and Chive,2oz,767,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/06,Sour Cream and Chive,2oz,1052,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/06,Sour Cream and Chive,2oz,965,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/06,Sour Cream and Chive,2oz,764,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/06,Sour Cream and Chive,2oz,794,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/06,Sour Cream and Chive,2oz,794,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/07,Sour Cream and Chive,2oz,550,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/07,Sour Cream and Chive,2oz,787,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/07,Sour Cream and Chive,2oz,636,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/07,Sour Cream and Chive,2oz,831,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/07,Sour Cream and Chive,2oz,820,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/07,Sour Cream and Chive,2oz,1104,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/07,Sour Cream and Chive,2oz,1102,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/07,Sour Cream and Chive,2oz,527,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/07,Sour Cream and Chive,2oz,961,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/07,Sour Cream and Chive,2oz,1365,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/07,Sour Cream and Chive,2oz,783,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/07,Sour Cream and Chive,2oz,625,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/08,Sour Cream and Chive,2oz,785,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/08,Sour Cream and Chive,2oz,880,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/08,Sour Cream and Chive,2oz,473,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/08,Sour Cream and Chive,2oz,930,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/08,Sour Cream and Chive,2oz,579,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/08,Sour Cream and Chive,2oz,751,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/08,Sour Cream and Chive,2oz,1025,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/08,Sour Cream and Chive,2oz,489,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/08,Sour Cream and Chive,2oz,1264,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/08,Sour Cream and Chive,2oz,711,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/08,Sour Cream and Chive,2oz,699,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/08,Sour Cream and Chive,2oz,379,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/09,Sour Cream and Chive,2oz,580,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/09,Sour Cream and Chive,2oz,722,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/09,Sour Cream and Chive,2oz,829,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/09,Sour Cream and Chive,2oz,917,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/09,Sour Cream and Chive,2oz,972,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/09,Sour Cream and Chive,2oz,763,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/09,Sour Cream and Chive,2oz,629,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/09,Sour Cream and Chive,2oz,1044,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/09,Sour Cream and Chive,2oz,1036,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/09,Sour Cream and Chive,2oz,656,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/09,Sour Cream and Chive,2oz,771,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/09,Sour Cream and Chive,2oz,657,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/10,Sour Cream and Chive,2oz,609,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/10,Sour Cream and Chive,2oz,890,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/10,Sour Cream and Chive,2oz,930,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/10,Sour Cream and Chive,2oz,999,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/10,Sour Cream and Chive,2oz,894,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/10,Sour Cream and Chive,2oz,1236,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/10,Sour Cream and Chive,2oz,778,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/10,Sour Cream and Chive,2oz,1000,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/10,Sour Cream and Chive,2oz,1007,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/10,Sour Cream and Chive,2oz,1172,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/10,Sour Cream and Chive,2oz,842,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/10,Sour Cream and Chive,2oz,448,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/06,Sour Cream and Chive,6oz,349,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/06,Sour Cream and Chive,6oz,273,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/06,Sour Cream and Chive,6oz,234,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/06,Sour Cream and Chive,6oz,235,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/06,Sour Cream and Chive,6oz,314,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/06,Sour Cream and Chive,6oz,281,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/06,Sour Cream and Chive,6oz,194,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/06,Sour Cream and Chive,6oz,334,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/06,Sour Cream and Chive,6oz,211,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/07,Sour Cream and Chive,6oz,245,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/07,Sour Cream and Chive,6oz,208,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/07,Sour Cream and Chive,6oz,274,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/07,Sour Cream and Chive,6oz,255,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/07,Sour Cream and Chive,6oz,231,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/07,Sour Cream and Chive,6oz,307,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/07,Sour Cream and Chive,6oz,274,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/07,Sour Cream and Chive,6oz,341,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/07,Sour Cream and Chive,6oz,218,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/07,Sour Cream and Chive,6oz,303,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/07,Sour Cream and Chive,6oz,250,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/07,Sour Cream and Chive,6oz,103,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/08,Sour Cream and Chive,6oz,185,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/08,Sour Cream and Chive,6oz,192,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/08,Sour Cream and Chive,6oz,195,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/08,Sour Cream and Chive,6oz,273,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/08,Sour Cream and Chive,6oz,148,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/08,Sour Cream and Chive,6oz,233,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/08,Sour Cream and Chive,6oz,451,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/08,Sour Cream and Chive,6oz,190,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/08,Sour Cream and Chive,6oz,276,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/08,Sour Cream and Chive,6oz,266,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/08,Sour Cream and Chive,6oz,231,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/08,Sour Cream and Chive,6oz,194,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/09,Sour Cream and Chive,6oz,319,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/09,Sour Cream and Chive,6oz,163,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/09,Sour Cream and Chive,6oz,271,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/09,Sour Cream and Chive,6oz,258,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/09,Sour Cream and Chive,6oz,363,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/09,Sour Cream and Chive,6oz,449,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/09,Sour Cream and Chive,6oz,391,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/09,Sour Cream and Chive,6oz,264,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/09,Sour Cream and Chive,6oz,307,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/09,Sour Cream and Chive,6oz,153,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/09,Sour Cream and Chive,6oz,270,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/09,Sour Cream and Chive,6oz,382,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/10,Sour Cream and Chive,6oz,263,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/10,Sour Cream and Chive,6oz,198,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/10,Sour Cream and Chive,6oz,322,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/10,Sour Cream and Chive,6oz,436,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/10,Sour Cream and Chive,6oz,411,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/10,Sour Cream and Chive,6oz,435,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/10,Sour Cream and Chive,6oz,306,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/10,Sour Cream and Chive,6oz,481,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/10,Sour Cream and Chive,6oz,369,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/10,Sour Cream and Chive,6oz,443,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/10,Sour Cream and Chive,6oz,211,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/10,Sour Cream and Chive,6oz,372,,,,,,2oz,,,,,,,,,,,,,,,,,,,
4/1/06,Chesapeake Crab,2oz,253,,,,,,2oz,,,,,,,,,,,,,,,,,,,
5/1/06,Chesapeake Crab,2oz,441,,,,,,2oz,,,,,,,,,,,,,,,,,,,
6/1/06,Chesapeake Crab,2oz,390,,,,,,2oz,,,,,,,,,,,,,,,,,,,
7/1/06,Chesapeake Crab,2oz,339,,,,,,2oz,,,,,,,,,,,,,,,,,,,
8/1/06,Chesapeake Crab,2oz,440,,,,,,2oz,,,,,,,,,,,,,,,,,,,
9/1/06,Chesapeake Crab,2oz,377,,,,,,2oz,,,,,,,,,,,,,,,,,,,
10/1/06,Chesapeake Crab,2oz,427,,,,,,2oz,,,,,,,,,,,,,,,,,,,
11/1/06,Chesapeake Crab,2oz,349,,,,,,2oz,,,,,,,,,,,,,,,,,,,
12/1/06,Chesapeake Crab,2oz,338,,,,,,2oz,,,,,,,,,,,,,,,,,,,
1/1/07,Chesapeake Crab,2oz,194,,,,,,2oz,,,,,,,,,,,,,,,,,,,
2/1/07,Chesapeake Crab,2oz,298,,,,,,2oz,,,,,,,,,,,,,,,,,,,
3/1/07,Chesapeake Crab,2oz,316,,,,,,2oz,,,,,,,,,,,,,,,,,,,
4/1/07,Chesapeake Crab,2oz,288,,,,,,2oz,,,,,,,,,,,,,,,,,,,
5/1/07,Chesapeake Crab,2oz,352,,,,,,2oz,,,,,,,,,,,,,,,,,,,
6/1/07,Chesapeake Crab,2oz,403,,,,,,2oz,,,,,,,,,,,,,,,,,,,
7/1/07,Chesapeake Crab,2oz,468,,,,,,2oz,,,,,,,,,,,,,,,,,,,
8/1/07,Chesapeake Crab,2oz,472,,,,,,2oz,,,,,,,,,,,,,,,,,,,
9/1/07,Chesapeake Crab,2oz,121,,,,,,2oz,,,,,,,,,,,,,,,,,,,
10/1/07,Chesapeake Crab,2oz,18,,,,,,2oz,,,,,,,,,,,,,,,,,,,
11/1/07,Chesapeake Crab,2oz,313,,,,,,2oz,,,,,,,,,,,,,,,,,,,
12/1/07,Chesapeake Crab,2oz,210,,,,,,2oz,,,,,,,,,,,,,,,,,,,
1/1/08,Chesapeake Crab,2oz,258,,,,,,2oz,,,,,,,,,,,,,,,,,,,
2/1/08,Chesapeake Crab,2oz,410,,,,,,2oz,,,,,,,,,,,,,,,,,,,
3/1/08,Chesapeake Crab,2oz,219,,,,,,2oz,,,,,,,,,,,,,,,,,,,
4/1/08,Chesapeake Crab,2oz,336,,,,,,2oz,,,,,,,,,,,,,,,,,,,
5/1/08,Chesapeake Crab,2oz,261,,,,,,2oz,,,,,,,,,,,,,,,,,,,
6/1/08,Chesapeake Crab,2oz,152,,,,,,2oz,,,,,,,,,,,,,,,,,,,
7/1/08,Chesapeake Crab,2oz,766,,,,,,2oz,,,,,,,,,,,,,,,,,,,
8/1/08,Chesapeake Crab,2oz,256,,,,,,2oz,,,,,,,,,,,,,,,,,,,
9/1/08,Chesapeake Crab,2oz,497,,,,,,2oz,,,,,,,,,,,,,,,,,,,
10/1/08,Chesapeake Crab,2oz,559,,,,,,2oz,,,,,,,,,,,,,,,,,,,
11/1/08,Chesapeake Crab,2oz,129,,,,,,2oz,,,,,,,,,,,,,,,,,,,
12/1/08,Chesapeake Crab,2oz,122,,,,,,2oz,,,,,,,,,,,,,,,,,,,
1/1/09,Chesapeake Crab,2oz,263,,,,,,2oz,,,,,,,,,,,,,,,,,,,
2/1/09,Chesapeake Crab,2oz,325,,,,,,2oz,,,,,,,,,,,,,,,,,,,
3/1/09,Chesapeake Crab,2oz,520,,,,,,2oz,,,,,,,,,,,,,,,,,,,
4/1/09,Chesapeake Crab,2oz,378,,,,,,2oz,,,,,,,,,,,,,,,,,,,
5/1/09,Chesapeake Crab,2oz,493,,,,,,2oz,,,,,,,,,,,,,,,,,,,
6/1/09,Chesapeake Crab,2oz,305,,,,,,2oz,,,,,,,,,,,,,,,,,,,
7/1/09,Chesapeake Crab,2oz,489,,,,,,2oz,,,,,,,,,,,,,,,,,,,
8/1/09,Chesapeake Crab,2oz,426,,,,,,2oz,,,,,,,,,,,,,,,,,,,
9/1/09,Chesapeake Crab,2oz,506,,,,,,2oz,,,,,,,,,,,,,,,,,,,
10/1/09,Chesapeake Crab,2oz,421,,,,,,2oz,,,,,,,,,,,,,,,,,,,
11/1/09,Chesapeake Crab,2oz,471,,,,,,2oz,,,,,,,,,,,,,,,,,,,
12/1/09,Chesapeake Crab,2oz,214,,,,,,2oz,,,,,,,,,,,,,,,,,,,
1/1/10,Chesapeake Crab,2oz,385,,,,,,2oz,,,,,,,,,,,,,,,,,,,
2/1/10,Chesapeake Crab,2oz,365,,,,,,2oz,,,,,,,,,,,,,,,,,,,
3/1/10,Chesapeake Crab,2oz,505,,,,,,2oz,,,,,,,,,,,,,,,,,,,
4/1/10,Chesapeake Crab,2oz,653,,,,,,2oz,,,,,,,,,,,,,,,,,,,
5/1/10,Chesapeake Crab,2oz,489,,,,,,2oz,,,,,,,,,,,,,,,,,,,
6/1/10,Chesapeake Crab,2oz,674,,,,,,2oz,,,,,,,,,,,,,,,,,,,
7/1/10,Chesapeake Crab,2oz,484,,,,,,2oz,,,,,,,,,,,,,,,,,,,
8/1/10,Chesapeake Crab,2oz,604,,,,,,2oz,,,,,,,,,,,,,,,,,,,
9/1/10,Chesapeake Crab,2oz,422,,,,,,2oz,,,,,,,,,,,,,,,,,,,
10/1/10,Chesapeake Crab,2oz,672,,,,,,2oz,,,,,,,,,,,,,,,,,,,
11/1/10,Chesapeake Crab,2oz,511,,,,,,2oz,,,,,,,,,,,,,,,,,,,
12/1/10,Chesapeake Crab,2oz,253,,,,,,6oz,,,,,,,,,,,,,,,,,,,
4/1/06,Chesapeake Crab,6oz,169,,,,,,6oz,,,,,,,,,,,,,,,,,,,
5/1/06,Chesapeake Crab,6oz,174,,,,,,6oz,,,,,,,,,,,,,,,,,,,
6/1/06,Chesapeake Crab,6oz,132,,,,,,6oz,,,,,,,,,,,,,,,,,,,
7/1/06,Chesapeake Crab,6oz,190,,,,,,6oz,,,,,,,,,,,,,,,,,,,
8/1/06,Chesapeake Crab,6oz,203,,,,,,6oz,,,,,,,,,,,,,,,,,,,
9/1/06,Chesapeake Crab,6oz,60,,,,,,6oz,,,,,,,,,,,,,,,,,,,
10/1/06,Chesapeake Crab,6oz,197,,,,,,6oz,,,,,,,,,,,,,,,,,,,
11/1/06,Chesapeake Crab,6oz,203,,,,,,6oz,,,,,,,,,,,,,,,,,,,
12/1/06,Chesapeake Crab,6oz,118,,,,,,6oz,,,,,,,,,,,,,,,,,,,
1/1/07,Chesapeake Crab,6oz,52,,,,,,6oz,,,,,,,,,,,,,,,,,,,
2/1/07,Chesapeake Crab,6oz,55,,,,,,6oz,,,,,,,,,,,,,,,,,,,
3/1/07,Chesapeake Crab,6oz,144,,,,,,6oz,,,,,,,,,,,,,,,,,,,
4/1/07,Chesapeake Crab,6oz,70,,,,,,6oz,,,,,,,,,,,,,,,,,,,
5/1/07,Chesapeake Crab,6oz,131,,,,,,6oz,,,,,,,,,,,,,,,,,,,
6/1/07,Chesapeake Crab,6oz,141,,,,,,6oz,,,,,,,,,,,,,,,,,,,
7/1/07,Chesapeake Crab,6oz,146,,,,,,6oz,,,,,,,,,,,,,,,,,,,
8/1/07,Chesapeake Crab,6oz,163,,,,,,6oz,,,,,,,,,,,,,,,,,,,
9/1/07,Chesapeake Crab,6oz,81,,,,,,6oz,,,,,,,,,,,,,,,,,,,
10/1/07,Chesapeake Crab,6oz,90,,,,,,6oz,,,,,,,,,,,,,,,,,,,
11/1/07,Chesapeake Crab,6oz,129,,,,,,6oz,,,,,,,,,,,,,,,,,,,
12/1/07,Chesapeake Crab,6oz,49,,,,,,6oz,,,,,,,,,,,,,,,,,,,
1/1/08,Chesapeake Crab,6oz,95,,,,,,6oz,,,,,,,,,,,,,,,,,,,
2/1/08,Chesapeake Crab,6oz,115,,,,,,6oz,,,,,,,,,,,,,,,,,,,
3/1/08,Chesapeake Crab,6oz,99,,,,,,6oz,,,,,,,,,,,,,,,,,,,
4/1/08,Chesapeake Crab,6oz,58,,,,,,6oz,,,,,,,,,,,,,,,,,,,
5/1/08,Chesapeake Crab,6oz,108,,,,,,6oz,,,,,,,,,,,,,,,,,,,
6/1/08,Chesapeake Crab,6oz,93,,,,,,6oz,,,,,,,,,,,,,,,,,,,
7/1/08,Chesapeake Crab,6oz,267,,,,,,6oz,,,,,,,,,,,,,,,,,,,
8/1/08,Chesapeake Crab,6oz,171,,,,,,6oz,,,,,,,,,,,,,,,,,,,
9/1/08,Chesapeake Crab,6oz,183,,,,,,6oz,,,,,,,,,,,,,,,,,,,
10/1/08,Chesapeake Crab,6oz,141,,,,,,6oz,,,,,,,,,,,,,,,,,,,
11/1/08,Chesapeake Crab,6oz,59,,,,,,6oz,,,,,,,,,,,,,,,,,,,
12/1/08,Chesapeake Crab,6oz,84,,,,,,6oz,,,,,,,,,,,,,,,,,,,
1/1/09,Chesapeake Crab,6oz,81,,,,,,6oz,,,,,,,,,,,,,,,,,,,
2/1/09,Chesapeake Crab,6oz,77,,,,,,6oz,,,,,,,,,,,,,,,,,,,
3/1/09,Chesapeake Crab,6oz,165,,,,,,6oz,,,,,,,,,,,,,,,,,,,
4/1/09,Chesapeake Crab,6oz,1170,,,,,,6oz,,,,,,,,,,,,,,,,,,,
5/1/09,Chesapeake Crab,6oz,214,,,,,,6oz,,,,,,,,,,,,,,,,,,,
6/1/09,Chesapeake Crab,6oz,131,,,,,,6oz,,,,,,,,,,,,,,,,,,,
7/1/09,Chesapeake Crab,6oz,238,,,,,,6oz,,,,,,,,,,,,,,,,,,,
8/1/09,Chesapeake Crab,6oz,169,,,,,,6oz,,,,,,,,,,,,,,,,,,,
9/1/09,Chesapeake Crab,6oz,144,,,,,,6oz,,,,,,,,,,,,,,,,,,,
10/1/09,Chesapeake Crab,6oz,104,,,,,,6oz,,,,,,,,,,,,,,,,,,,
11/1/09,Chesapeake Crab,6oz,161,,,,,,6oz,,,,,,,,,,,,,,,,,,,
12/1/09,Chesapeake Crab,6oz,173,,,,,,6oz,,,,,,,,,,,,,,,,,,,
1/1/10,Chesapeake Crab,6oz,115,,,,,,6oz,,,,,,,,,,,,,,,,,,,
2/1/10,Chesapeake Crab,6oz,71,,,,,,6oz,,,,,,,,,,,,,,,,,,,
3/1/10,Chesapeake Crab,6oz,209,,,,,,6oz,,,,,,,,,,,,,,,,,,,
4/1/10,Chesapeake Crab,6oz,293,,,,,,6oz,,,,,,,,,,,,,,,,,,,
5/1/10,Chesapeake Crab,6oz,273,,,,,,6oz,,,,,,,,,,,,,,,,,,,
6/1/10,Chesapeake Crab,6oz,210,,,,,,6oz,,,,,,,,,,,,,,,,,,,
7/1/10,Chesapeake Crab,6oz,254,,,,,,6oz,,,,,,,,,,,,,,,,,,,
8/1/10,Chesapeake Crab,6oz,812,,,,,,6oz,,,,,,,,,,,,,,,,,,,
9/1/10,Chesapeake Crab,6oz,140,,,,,,6oz,,,,,,,,,,,,,,,,,,,
10/1/10,Chesapeake Crab,6oz,269,,,,,,6oz,,,,,,,,,,,,,,,,,,,
11/1/10,Chesapeake Crab,6oz,156,,,,,,6oz,,,,,,,,,,,,,,,,,,,
12/1/10,Chesapeake Crab,6oz,146,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/06,Salt and Vinegar,2oz,781,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/06,Salt and Vinegar,2oz,865,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/06,Salt and Vinegar,2oz,909,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/06,Salt and Vinegar,2oz,674,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/06,Salt and Vinegar,2oz,1092,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/06,Salt and Vinegar,2oz,953,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/06,Salt and Vinegar,2oz,716,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/06,Salt and Vinegar,2oz,1081,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/06,Salt and Vinegar,2oz,609,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/07,Salt and Vinegar,2oz,769,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/07,Salt and Vinegar,2oz,663,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/07,Salt and Vinegar,2oz,804,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/07,Salt and Vinegar,2oz,742,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/07,Salt and Vinegar,2oz,937,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/07,Salt and Vinegar,2oz,839,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/07,Salt and Vinegar,2oz,1156,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/07,Salt and Vinegar,2oz,815,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/07,Salt and Vinegar,2oz,752,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/07,Salt and Vinegar,2oz,1234,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/07,Salt and Vinegar,2oz,771,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/07,Salt and Vinegar,2oz,587,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/08,Salt and Vinegar,2oz,784,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/08,Salt and Vinegar,2oz,857,,,,,,,,,,,,,,,,,,,,,,,,,
